id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
7377,CDS,cde_fo,JPYINR,10465,OPTCUR,PE,56.5,JPYINR17FEBRUARY2356.5PE,JPYINR2321756.5PE,JPYINR 17FEB23 56.5 PE,17-02-2023,1,0.0025
7378,CDS,cde_fo,JPYINR,10466,OPTCUR,CE,61.25,JPYINR10MARCH2361.25CE,JPYINR2331061.25CE,JPYINR 10MAR23 61.25 CE,10-03-2023,1,0.0025
7379,CDS,cde_fo,JPYINR,10467,OPTCUR,PE,61.25,JPYINR10MARCH2361.25PE,JPYINR2331061.25PE,JPYINR 10MAR23 61.25 PE,10-03-2023,1,0.0025
7380,CDS,cde_fo,USDINR,10468,OPTCUR,PE,79.5,USDINR27DECEMBER2379.5PE,USDINR23DEC79.5PE,USDINR 27DEC23 79.5 PE,27-12-2023,1,0.0025
7381,CDS,cde_fo,EURINR,10472,OPTCUR,CE,81.75,EURINR10FEBRUARY2381.75CE,EURINR2321081.75CE,EURINR 10FEB23 81.75 CE,10-02-2023,1,0.0025
7382,CDS,cde_fo,EURINR,10473,OPTCUR,PE,81.75,EURINR10FEBRUARY2381.75PE,EURINR2321081.75PE,EURINR 10FEB23 81.75 PE,10-02-2023,1,0.0025
7383,CDS,cde_fo,EURINR,10474,OPTCUR,CE,82,EURINR10FEBRUARY2382CE,EURINR2321082CE,EURINR 10FEB23 82 CE,10-02-2023,1,0.0025
7384,CDS,cde_fo,EURINR,10475,OPTCUR,PE,82,EURINR10FEBRUARY2382PE,EURINR2321082PE,EURINR 10FEB23 82 PE,10-02-2023,1,0.0025
7385,CDS,cde_fo,EURINR,10476,OPTCUR,CE,82.25,EURINR10FEBRUARY2382.25CE,EURINR2321082.25CE,EURINR 10FEB23 82.25 CE,10-02-2023,1,0.0025
7386,CDS,cde_fo,EURINR,10477,OPTCUR,PE,82.25,EURINR10FEBRUARY2382.25PE,EURINR2321082.25PE,EURINR 10FEB23 82.25 PE,10-02-2023,1,0.0025
7387,CDS,cde_fo,EURINR,10478,OPTCUR,CE,82.5,EURINR10FEBRUARY2382.5CE,EURINR2321082.5CE,EURINR 10FEB23 82.5 CE,10-02-2023,1,0.0025
7388,CDS,cde_fo,EURINR,10479,OPTCUR,PE,82.5,EURINR10FEBRUARY2382.5PE,EURINR2321082.5PE,EURINR 10FEB23 82.5 PE,10-02-2023,1,0.0025
7389,CDS,cde_fo,EURINR,10480,OPTCUR,CE,82.75,EURINR10FEBRUARY2382.75CE,EURINR2321082.75CE,EURINR 10FEB23 82.75 CE,10-02-2023,1,0.0025
7390,CDS,cde_fo,EURINR,10491,OPTCUR,PE,82.75,EURINR10FEBRUARY2382.75PE,EURINR2321082.75PE,EURINR 10FEB23 82.75 PE,10-02-2023,1,0.0025
7391,CDS,cde_fo,EURINR,10492,OPTCUR,CE,83,EURINR10FEBRUARY2383CE,EURINR2321083CE,EURINR 10FEB23 83 CE,10-02-2023,1,0.0025
7392,CDS,cde_fo,EURINR,10493,OPTCUR,PE,83,EURINR10FEBRUARY2383PE,EURINR2321083PE,EURINR 10FEB23 83 PE,10-02-2023,1,0.0025
7393,CDS,cde_fo,EURINR,10494,OPTCUR,CE,83.25,EURINR10FEBRUARY2383.25CE,EURINR2321083.25CE,EURINR 10FEB23 83.25 CE,10-02-2023,1,0.0025
7394,CDS,cde_fo,EURINR,10495,OPTCUR,PE,83.25,EURINR10FEBRUARY2383.25PE,EURINR2321083.25PE,EURINR 10FEB23 83.25 PE,10-02-2023,1,0.0025
7395,CDS,cde_fo,EURINR,10496,OPTCUR,CE,83.5,EURINR10FEBRUARY2383.5CE,EURINR2321083.5CE,EURINR 10FEB23 83.5 CE,10-02-2023,1,0.0025
7396,CDS,cde_fo,EURINR,10497,OPTCUR,PE,83.5,EURINR10FEBRUARY2383.5PE,EURINR2321083.5PE,EURINR 10FEB23 83.5 PE,10-02-2023,1,0.0025
7397,CDS,cde_fo,EURINR,10500,OPTCUR,CE,83.75,EURINR10FEBRUARY2383.75CE,EURINR2321083.75CE,EURINR 10FEB23 83.75 CE,10-02-2023,1,0.0025
7398,CDS,cde_fo,EURINR,10501,OPTCUR,PE,83.75,EURINR10FEBRUARY2383.75PE,EURINR2321083.75PE,EURINR 10FEB23 83.75 PE,10-02-2023,1,0.0025
7399,CDS,cde_fo,EURINR,10502,OPTCUR,CE,84,EURINR10FEBRUARY2384CE,EURINR2321084CE,EURINR 10FEB23 84 CE,10-02-2023,1,0.0025
7400,CDS,cde_fo,EURINR,10503,OPTCUR,PE,84,EURINR10FEBRUARY2384PE,EURINR2321084PE,EURINR 10FEB23 84 PE,10-02-2023,1,0.0025
7401,CDS,cde_fo,EURINR,10504,OPTCUR,CE,84.25,EURINR10FEBRUARY2384.25CE,EURINR2321084.25CE,EURINR 10FEB23 84.25 CE,10-02-2023,1,0.0025
7402,CDS,cde_fo,EURINR,10505,OPTCUR,PE,84.25,EURINR10FEBRUARY2384.25PE,EURINR2321084.25PE,EURINR 10FEB23 84.25 PE,10-02-2023,1,0.0025
7403,CDS,cde_fo,EURINR,10506,OPTCUR,CE,84.5,EURINR10FEBRUARY2384.5CE,EURINR2321084.5CE,EURINR 10FEB23 84.5 CE,10-02-2023,1,0.0025
7404,CDS,cde_fo,EURINR,10507,OPTCUR,PE,84.5,EURINR10FEBRUARY2384.5PE,EURINR2321084.5PE,EURINR 10FEB23 84.5 PE,10-02-2023,1,0.0025
7405,CDS,cde_fo,EURINR,10508,OPTCUR,CE,84.75,EURINR10FEBRUARY2384.75CE,EURINR2321084.75CE,EURINR 10FEB23 84.75 CE,10-02-2023,1,0.0025
7406,CDS,cde_fo,JPYINR,10514,OPTCUR,CE,61.5,JPYINR10MARCH2361.5CE,JPYINR2331061.5CE,JPYINR 10MAR23 61.5 CE,10-03-2023,1,0.0025
7407,CDS,cde_fo,JPYINR,10515,OPTCUR,PE,61.5,JPYINR10MARCH2361.5PE,JPYINR2331061.5PE,JPYINR 10MAR23 61.5 PE,10-03-2023,1,0.0025
7408,CDS,cde_fo,JPYINR,10516,OPTCUR,CE,61.75,JPYINR10MARCH2361.75CE,JPYINR2331061.75CE,JPYINR 10MAR23 61.75 CE,10-03-2023,1,0.0025
7409,CDS,cde_fo,JPYINR,10517,OPTCUR,PE,61.75,JPYINR10MARCH2361.75PE,JPYINR2331061.75PE,JPYINR 10MAR23 61.75 PE,10-03-2023,1,0.0025
7410,CDS,cde_fo,JPYINR,10518,OPTCUR,CE,62,JPYINR10MARCH2362CE,JPYINR2331062CE,JPYINR 10MAR23 62 CE,10-03-2023,1,0.0025
